"production","weeks","nominations","wins","year","type"
"110-in-the-shade-423558",16,5,0,"2007","Musical"
"1776-4754",46,3,0,"1998","Musical"
"1984-513416",21,1,0,"2018","Play"
"33-variations-482128",15,5,1,"2009","Play"
"42nd-street-12864",196,8,2,"2001","Musical"
"42nd-street-3963",438,8,2,"1981","Musical"
"700-sundays-383054",29,1,1,"2005","Play"
"a-beautiful-noise-the-neil-diamond-musical-534723",51,2,0,"2023","Musical"
"a-behanding-in-spokane-485319",16,1,0,"2010","Play"
"a-bronx-tale-the-musical-508538",91,1,0,"2017","Musical"
"a-catered-affair-466360",18,3,0,"2008","Musical"
"a-change-in-the-heir-4563",5,0,0,"1990","Musical"
"a-chorus-line-402597",98,2,0,"2007","Musical"
"a-class-act-12818",17,5,0,"2001","Musical"
"a-day-in-hollywood--a-night-in-the-ukraine-3950",69,9,2,"1980","Musical"
"a-day-in-the-death-of-joe-egg-13455",48,4,0,"2003","Play"
"a-day-in-the-death-of-joe-egg-4365",52,4,2,"1985","Play"
"a-delicate-balance-4676",27,6,3,"1996","Play"
"a-dolls-house-4742",23,4,4,"1997","Play"
"a-dolls-house-535893",17,6,0,"2023","Play"
"a-dolls-house-part-2-510743",26,7,1,"2017","Play"
"a-few-good-men-4255",65,1,0,"1990","Play"
"a-funny-thing-happened-on-the-way-to-the-forum-4675",94,4,1,"1996","Musical"
"a-little-night-music-485016",56,4,1,"2010","Musical"
"a-midsummer-nights-dream-4272",10,2,0,"1996","Play"
"a-month-in-the-country-4295",10,1,0,"1995","Play"
"a-moon-for-the-misbegotten-12486",17,4,1,"2000","Play"
"a-moon-for-the-misbegotten-4466",9,4,0,"1984","Play"
"a-moon-for-the-misbegotten-453966",11,1,0,"2007","Play"
"a-raisin-in-the-sun-13596",15,4,2,"2004","Play"
"a-raisin-in-the-sun-495163",15,5,3,"2014","Play"
"a-small-family-business-4685",10,1,0,"1992","Play"
"a-strange-loop-533382",40,11,2,"2022","Musical"
"a-streetcar-named-desire-381031",15,3,0,"2005","Play"
"a-streetcar-named-desire-4496",14,2,0,"1988","Play"
"a-streetcar-named-desire-4677",21,1,0,"1992","Play"
"a-streetcar-named-desire-491729",16,1,0,"2012","Play"
"a-view-from-the-bridge-4205",20,2,0,"1983","Play"
"a-view-from-the-bridge-5146",35,4,2,"1998","Play"
"a-walk-in-the-woods-4495",20,2,0,"1988","Play"
"a-woman-of-independent-means-4336",4,0,0,"1985","Play"
"a-year-with-frog-and-toad-13478",11,3,0,"2003","Musical"
"accent-on-youth-480514",12,0,0,"2009","Play"
"accomplice-4562",10,1,1,"1990","Play"
"act-one-494913",13,5,1,"2014","Play"
"after-midnight-494959",37,7,1,"2014","Musical"
"after-the-night-and-the-music-383009",10,0,0,"2006","Play"
"agnes-of-god-4166",77,2,1,"1982","Play"
"ah-wilderness-4512",7,1,0,"1989","Play"
"ah-wilderness-4870",11,2,0,"1998","Play"
"aida-12485",237,5,4,"2000","Musical"
"aint-broadway-grand-4713",7,1,0,"1993","Musical"
"aint-too-proud-520004",67,11,1,"2019","Musical"
"airline-highway-497979",10,4,0,"2015","Play"
"aladdin-495244",421,5,1,"2014","Musical"
"all-my-sons-4456",5,3,1,"1987","Play"
"all-my-sons-519850",13,3,0,"2019","Play"
"all-shook-up-383114",32,1,0,"2005","Musical"
"alls-well-that-ends-well-4217",7,7,0,"1983","Play"
"amadeus-10706",23,2,0,"2000","Play"
"amadeus-4083",149,7,5,"1981","Play"
"american-buffalo-525177",16,4,0,"2022","Play"
"american-idiot-485578",57,3,2,"2010","Musical"
"american-psycho-503809",11,2,0,"2016","Musical"
"amys-view-7302",16,2,1,"1999","Play"
"an-act-of-god-499263",13,1,0,"2016","Play"
"an-act-of-god-506458",15,0,0,"2017","Play"
"an-american-daughter-4744",15,1,1,"1997","Play"
"an-american-in-paris-497695",83,11,4,"2015","Musical"
"an-ideal-husband-4793",40,3,0,"1996","Play"
"an-inspector-calls-4605",59,5,4,"1994","Play"
"anastasia-508711",106,2,0,"2017","Musical"
"angels-in-america-millennium-approaches-4569",85,8,4,"1993","Play"
"angels-in-america-millennium-approaches-515873",21,10,3,"2018","Play"
"ann-493484",19,1,0,"2013","Play"
"annie-4740",32,1,0,"1997","Musical"
"annie-492932",66,1,0,"2013","Musical"
"annie-get-your-gun-6287",135,3,2,"1999","Musical"
"anything-goes-4483",104,10,3,"1988","Musical"
"anything-goes-488371",70,9,3,"2011","Musical"
"arcadia-4291",26,3,0,"1995","Play"
"arcadia-489559",17,2,0,"2011","Play"
"arent-we-all-4371",14,2,0,"1985","Play"
"arms-and-the-man-4374",17,0,0,"1986","Play"
"art-4847",78,3,1,"1998","Play"
"as-is-4372",37,3,0,"1985","Play"
"as-long-as-we-both-shall-laugh-13489",14,0,0,"2003","Special"
"asinamali-4467",5,1,0,"1987","Play"
"aspects-of-love-4559",50,6,0,"1990","Musical"
"assassins-13580",16,7,5,"2004","Musical"
"august-osage-county-467754",84,7,5,"2008","Play"
"avenue-q-13502",321,6,3,"2004","Musical"
"awake-and-sing-407155",14,7,2,"2006","Play"
"baby-4242",34,7,0,"1984","Musical"
"baby-its-you-489611",24,1,0,"2011","Musical"
"bad-cinderella-535361",16,0,0,"2023","Musical"
"bandstand-511287",25,2,1,"2017","Musical"
"barefoot-in-the-park-398479",17,0,0,"2006","Play"
"barnum-3949",102,10,3,"1980","Musical"
"barrymore-4739",34,1,1,"1997","Play"
"be-more-chill-519720",26,1,0,"2019","Musical"
"beautiful-the-carole-king-musical-495178",310,7,2,"2014","Musical"
"beauty-and-the-beast-4602",690,9,1,"1994","Musical"
"beethovens-tenth-4463",5,0,0,"1984","Play"
"beetlejuice-519779",50,8,0,"2019","Musical"
"beetlejuice-532410",40,0,0,"2022","Musical"
"bells-are-ringing-12824",13,2,0,"2001","Musical"
"benefactors-4392",29,2,0,"1986","Play"
"bengal-tiger-at-the-baghdad-zoo-489285",17,3,0,"2011","Play"
"bent-3823",4,2,0,"1980","Play"
"beyond-therapy-4173",4,1,0,"1983","Play"
"big-4790",27,5,0,"1996","Musical"
"big-deal-4406",10,5,1,"1986","Musical"
"big-river-4370",129,9,7,"1985","Musical"
"bill-maher-victory-begins-at-home-13456",3,1,0,"2003","Special"
"billy-bishop-goes-to-war-3957",1,0,0,"1981","Play"
"billy-elliot-the-musical-475107",171,14,10,"2009","Musical"
"biloxi-blues-4366",67,3,3,"1985","Play"
"birthday-candles-522966",11,1,1,"2022","Play"
"black-and-blue-4528",108,9,3,"1989","Musical"
"blackbird-502795",19,3,0,"2016","Play"
"blackstone-3955",11,1,0,"1981","Special"
"blast-12839",25,2,1,"2001","Special"
"blithe-spirit-4447",16,1,0,"1987","Play"
"blithe-spirit-482340",21,2,1,"2009","Play"
"blood-brothers-4716",107,6,0,"1993","Musical"
"blues-in-the-night-4860",7,1,0,"1983","Musical"
"boeing-boeing-477454",38,6,2,"2008","Play"
"bombay-dreams-13541",40,3,0,"2004","Musical"
"born-yesterday-4529",21,1,0,"1989","Play"
"born-yesterday-489630",13,2,0,"2011","Play"
"bridge-tunnel-408650",30,1,1,"2006","Play"
"bright-star-503623",18,5,0,"2016","Musical"
"brighton-beach-memoirs-4212",164,4,2,"1983","Play"
"bring-in-da-noise-bring-in-da-funk-4789",144,9,4,"1996","Musical"
"broadway-bound-4434",96,4,2,"1987","Play"
"broken-glass-4604",11,1,0,"1994","Play"
"brooklyn-383057",40,0,0,"2005","Musical"
"buddy-4619",30,1,0,"1991","Musical"
"buried-child-4792",11,5,0,"1996","Play"
"burn-this-4480",56,2,1,"1988","Play"
"burn-this-520708",18,3,0,"2019","Play"
"buttons-on-broadway-4301",6,0,0,"1996","Special"
"cabaret-4484",35,3,0,"1988","Musical"
"cabaret-4848",304,10,4,"1998","Musical"
"cabaret-495251",54,2,0,"2014","Musical"
"camelot-534339",20,5,0,"2023","Musical"
"can-can-4113",3,3,0,"1981","Musical"
"candida-4709",9,1,0,"1993","Play"
"candide-4751",15,4,1,"1997","Musical"
"caroline-or-change-11975",20,6,1,"2004","Musical"
"carousel-4598",48,5,5,"1994","Musical"
"carousel-515791",29,11,2,"2018","Musical"
"carrie-4508",3,1,1,"1988","Musical"
"casa-valentina-495296",13,4,0,"2014","Play"
"cat-on-a-hot-tin-roof-4556",21,3,1,"1990","Play"
"cat-on-a-hot-tin-roof-474986",19,0,0,"2008","Play"
"catch-me-if-you-can-488876",26,4,1,"2011","Musical"
"cats-4186",938,10,7,"1983","Musical"
"cats-504579",77,1,0,"2017","Musical"
"catskills-on-broadway-4652",59,0,0,"1992","Special"
"charlie-and-the-chocolate-factory-509567",42,1,1,"2017","Musical"
"chess-4504",11,2,0,"1988","Musical"
"chicago-4804",1328,8,6,"1997","Musical"
"children-of-a-lesser-god-3694",102,4,3,"1980","Play"
"children-of-a-lesser-god-515596",10,1,0,"2018","Play"
"chinese-coffee-4689",10,0,0,"1993","Play"
"chitty-chitty-bang-bang-382080",41,5,0,"2005","Musical"
"chronicle-of-a-death-foretold-4302",9,3,0,"1996","Musical"
"chu-chem-4539",9,0,0,"1989","Musical"
"cirque-du-soleil-paramour-502326",53,0,0,"2017","Musical"
"city-of-angels-4261",113,11,6,"1990","Musical"
"closer-7294",24,1,0,"1999","Play"
"clybourne-park-491759",23,4,1,"2012","Play"
"coastal-disturbances-4442",47,3,0,"1987","Play"
"collected-stories-483662",10,1,0,"2010","Play"
"come-fly-away-485560",27,2,0,"2010","Musical"
"come-from-away-510272",214,7,1,"2017","Musical"
"company-423555",35,3,1,"2007","Musical"
"company-524001",38,9,5,"2022","Musical"
"contact-12487",131,7,4,"2000","Musical"
"conversations-with-my-father-4669",54,3,1,"1992","Play"
"copenhagen-12519",44,3,3,"2000","Play"
"coram-boy-456224",6,5,0,"2007","Play"
"crazy-for-you-4662",206,9,3,"1992","Musical"
"crimes-of-the-heart-4138",69,3,0,"1982","Play"
"cry-baby-476233",15,4,0,"2008","Musical"
"curtains-453332",68,8,1,"2007","Musical"
"dame-edna-back-with-a-vengeance-384260",26,1,0,"2005","Special"
"dame-edna-the-royal-tour-9683",42,1,1,"2000","Special"
"damn-yankees-4595",69,4,1,"1994","Musical"
"dance-a-little-closer-4227",5,0,0,"1984","Musical"
"dancin-535808",11,1,0,"2023","Musical"
"dancing-at-lughnasa-4647",55,7,3,"1992","Play"
"dear-evan-hansen-508238",213,9,6,"2017","Musical"
"death-and-the-maiden-4665",24,1,1,"1992","Play"
"death-of-a-salesman-491286",16,7,2,"2012","Play"
"death-of-a-salesman-6286",40,5,4,"1999","Play"
"design-for-living-12823",13,0,0,"2001","Play"
"design-for-living-4340",34,1,0,"1985","Play"
"desire-under-the-elms-483543",6,2,0,"2009","Play"
"deuce-452999",19,1,0,"2007","Play"
"dirty-blonde-12573",47,4,0,"2000","Play"
"dirty-rotten-scoundrels-383315",83,11,1,"2005","Musical"
"disaster-503579",13,1,0,"2016","Musical"
"do-black-patent-leather-shoes-really-reflect-up-4174",3,0,0,"1983","Musical"
"doctor-zhivago-498431",7,0,0,"2015","Musical"
"dont-dress-for-dinner-491120",12,2,0,"2012","Play"
"doubles-4373",36,0,0,"1986","Play"
"doubt-392488",69,8,4,"2005","Play"
"dream-4743",17,1,0,"1997","Musical"
"dreamgirls-4152",192,13,6,"1982","Musical"
"eclipsed-503176",17,5,1,"2016","Play"
"elaine-stritch-at-liberty-13309",16,1,1,"2002","Special"
"eminent-domain-4165",10,0,0,"1982","Play"
"enchanted-april-13487",21,2,0,"2003","Play"
"end-of-the-rainbow-491212",22,3,0,"2012","Play"
"end-of-the-world-4337",6,3,0,"1984","Play"
"enron-485537",5,4,0,"2010","Play"
"escape-to-margaritaville-515030",20,0,0,"2018","Musical"
"everyday-rapture-487670",12,2,0,"2010","Musical"
"evita-3809",160,11,7,"1980","Musical"
"evita-491036",46,3,0,"2012","Musical"
"exit-the-king-482525",15,4,1,"2009","Play"
"faith-healer-412515",17,4,1,"2006","Play"
"falsettos-4686",64,7,2,"1992","Musical"
"fat-ham-535958",15,5,0,"2023","Play"
"fela-484350",63,11,3,"2010","Musical"
"fences-4446",67,5,4,"1987","Play"
"fences-485594",13,10,3,"2010","Play"
"festen-402871",9,0,0,"2006","Play"
"fiddler-on-the-roof-13483",103,6,0,"2004","Musical"
"fiddler-on-the-roof-4625",33,2,1,"1991","Musical"
"fiddler-on-the-roof-501123",59,3,0,"2016","Musical"
"fifth-of-july-4072",65,5,1,"1981","Play"
"finding-neverland-498337",76,2,0,"2015","Musical"
"fish-in-the-dark-497971",26,0,0,"2015","Play"
"five-guys-named-moe-4671",59,2,0,"1992","Musical"
"follies-12822",19,5,0,"2001","Musical"
"fool-moon-4705",30,1,1,"1993","Special"
"fools-4107",7,1,0,"1981","Play"
"footloose-4877",91,4,0,"1999","Musical"
"for-colored-girls-who-have-considered-suicide--when-the-rainbow-is-enuf-532941",10,7,0,"2022","Play"
"forever-tango-4753",58,1,0,"1998","Special"
"fortunes-fool-13288",20,3,2,"2002","Play"
"fosse-5798",140,7,3,"1999","Musical"
"foxfire-4192",28,3,1,"1983","Play"
"freak-4846",24,2,0,"1998","Play"
"frost-nixon-453357",21,3,1,"2007","Play"
"frozen-379664",17,4,1,"2004","Play"
"frozen-515657",107,3,0,"2018","Musical"
"fully-committed-503772",18,2,1,"2016","Play"
"fun-home-497807",77,10,5,"2015","Musical"
"funny-girl-532545",76,1,0,"2022","Musical"
"gary-a-sequel-to-titus-andronicus-519765",14,6,0,"2019","Play"
"george-gershwin-alone-12863",14,0,0,"2001","Play"
"getting-married-4644",12,0,0,"1992","Play"
"ghetto-4544",8,1,0,"1989","Play"
"ghetto-klown-489556",20,1,1,"2011","Play"
"ghost-the-musical-490920",23,3,0,"2012","Musical"
"gigi-499196",14,1,0,"2015","Musical"
"girl-from-the-north-country-534369",8,0,0,"2022","Musical"
"glengarry-glen-ross-390715",21,5,2,"2005","Play"
"glengarry-glen-ross-4458",49,4,1,"1984","Play"
"glory-days-478270",3,0,0,"2009","Musical"
"god-of-carnage-482510",61,5,3,"2009","Play"
"godspell-490436",37,0,0,"2012","Musical"
"goldas-balcony-13535",65,1,0,"2004","Play"
"golden-child-4864",10,3,0,"1998","Play"
"good-night-oscar-535325",21,3,1,"2023","Play"
"good-people-488093",16,2,1,"2011","Play"
"grand-hotel-4254",131,12,5,"1990","Musical"
"grays-anatomy-4729",5,0,0,"1995","Special"
"grease-458339",74,1,0,"2008","Musical"
"grease-4610",191,3,0,"1994","Musical"
"grey-gardens-426592",43,10,3,"2007","Musical"
"grind-4369",12,7,2,"1985","Musical"
"groundhog-day-510225",27,7,0,"2017","Musical"
"guys-and-dolls-4679",147,8,4,"1992","Musical"
"guys-and-dolls-481459",19,2,0,"2009","Musical"
"gypsy-13429",61,4,0,"2003","Musical"
"gypsy-4256",78,5,2,"1990","Musical"
"gypsy-475256",45,7,3,"2008","Musical"
"hadestown-520711",162,14,8,"2019","Musical"
"hair-481766",69,8,1,"2009","Musical"
"hairspray-13371",336,13,8,"2003","Musical"
"hamilton-499521",352,15,11,"2016","Musical"
"hamlet-4299",15,2,1,"1995","Play"
"hamlet-4670",9,0,0,"1992","Play"
"hand-to-god-498573",43,5,0,"2015","Play"
"hangmen-534367",11,5,0,"2022","Play"
"harry-potter-and-the-cursed-child-parts-one-and-two-514844",204,10,6,"2018","Play"
"harvey-491285",12,0,0,"2013","Play"
"having-our-say-4293",42,3,0,"1995","Play"
"hedda-gabler-4267",9,0,0,"1995","Play"
"hedwig-and-the-angry-inch-495294",77,8,4,"2014","Musical"
"hello-dolly-507877",76,10,4,"2017","Musical"
"high-society-4867",22,2,0,"1998","Musical"
"hillary-and-clinton-520344",15,1,0,"2019","Play"
"holler-if-ya-hear-me-496054",7,0,0,"2015","Musical"
"home-3953",31,2,0,"1980","Play"
"honour-4868",11,2,0,"1998","Play"
"hot-feet-413678",14,0,0,"2006","Musical"
"how-i-learned-to-drive-523721",11,3,0,"2022","Play"
"how-to-succeed-in-business-without-really-trying-4288",71,4,1,"1995","Musical"
"how-to-succeed-in-business-without-really-trying-488364",65,8,1,"2011","Musical"
"hurlyburly-4342",43,4,1,"1985","Play"
"i-am-my-own-wife-13559",50,3,2,"2004","Play"
"i-hate-hamlet-4638",14,1,0,"1991","Play"
"i-ought-to-be-in-pictures-3696",32,1,1,"1980","Play"
"i-wont-dance-4119",2,0,0,"1982","Play"
"if-then-495051",54,2,0,"2014","Musical"
"ill-eat-you-last-a-chat-with-sue-mengers-494064",13,1,0,"2013","Play"
"im-not-rappaport-4384",113,3,3,"1986","Play"
"impressionism-482092",11,0,0,"2009","Play"
"in-the-heights-465745",152,13,4,"2008","Musical"
"inacent-black-4116",4,0,0,"1982","Play"
"indecent-511164",18,3,2,"2017","Play"
"indiscretions-4296",31,9,0,"1995","Play"
"inherit-the-wind-452232",16,4,0,"2007","Play"
"inherit-the-wind-4672",11,2,0,"1996","Play"
"ink-518582",14,6,2,"2019","Play"
"into-the-woods-13281",38,10,2,"2002","Musical"
"into-the-woods-4486",101,10,3,"1988","Musical"
"irenas-vow-482325",16,0,0,"2009","Play"
"is-there-life-after-high-school-4171",8,1,1,"1982","Musical"
"it-aint-nothin-but-the-blues-8379",37,4,0,"1999","Musical"
"it-had-to-be-you-4118",8,0,0,"1982","Play"
"it-shoulda-been-you-498636",21,3,0,"2015","Musical"
"its-only-a-play-497345",41,1,0,"2015","Play"
"its-so-nice-to-be-civilized-3959",1,0,0,"1981","Musical"
"jack-a-night-on-the-town-with-john-barrymore-4717",3,0,0,"1996","Play"
"jackie-mason-brand-new-4615",38,0,0,"1991","Special"
"jackie-mason-freshly-squeezed-392187",26,1,0,"2005","Special"
"jackie-mason-politically-incorrect-4599",59,0,0,"1994","Special"
"jackie-masons-the-world-according-to-me-4436",55,1,1,"1987","Special"
"jackie-masons-the-world-according-to-me-4506",35,0,0,"1989","Special"
"jakes-women-4668",33,1,0,"1992","Play"
"jane-eyre-12568",31,5,0,"2001","Musical"
"jekyll-hyde-4750",199,4,0,"1997","Musical"
"jekyll-hyde-493330",6,0,0,"2013","Musical"
"jellys-last-jam-4684",75,11,3,"1992","Musical"
"jerome-robbins-broadway-4533",86,9,6,"1989","Musical"
"jersey-boys-394781",587,8,4,"2006","Musical"
"jerusalem-489533",21,6,1,"2011","Play"
"jesus-christ-superstar-12491",24,1,0,"2000","Musical"
"jesus-christ-superstar-490940",18,2,0,"2012","Musical"
"joe-turners-come-and-gone-4499",15,5,1,"1988","Play"
"joe-turners-come-and-gone-482347",13,6,2,"2009","Play"
"joseph-and-the-amazing-technicolor-dreamcoat-4158",84,7,0,"1982","Musical"
"joseph-and-the-amazing-technicolor-dreamcoat-4581",31,0,0,"1994","Musical"
"journeys-end-454928",18,6,1,"2007","Play"
"judgment-at-nuremberg-12819",13,2,0,"2001","Play"
"julius-caesar-391569",14,0,0,"2005","Play"
"jumpers-13598",14,4,0,"2004","Play"
"kimberly-akimbo-534754",54,8,5,"2023","Musical"
"king-david-4728",2,0,0,"1998","Special"
"king-hedley-ii-12865",12,6,1,"2001","Play"
"king-kong-516830",46,4,1,"2019","Musical"
"king-lear-519767",15,1,0,"2019","Play"
"kinky-boots-493287",319,13,6,"2013","Musical"
"kiss-me-kate-518742",20,4,0,"2019","Musical"
"kiss-me-kate-9686",114,10,5,"2000","Musical"
"kiss-of-the-spider-woman-4568",115,11,7,"1993","Musical"
"la-cage-aux-folles-383058",33,4,2,"2005","Musical"
"la-cage-aux-folles-4231",223,9,6,"1984","Musical"
"la-cage-aux-folles-484929",56,11,3,"2010","Musical"
"largely-new-york-4545",20,5,0,"1989","Play"
"laughter-on-the-23rd-floor-4586",43,0,0,"1994","Play"
"leader-of-the-pack-4367",22,1,0,"1985","Musical"
"leap-of-faith-491632",6,1,0,"2012","Musical"
"legally-blonde-423552",79,7,0,"2007","Musical"
"lena-horne-the-lady-and-her-music-4120",59,1,1,"1981","Special"
"lend-me-a-tenor-4535",62,7,2,"1989","Play"
"lend-me-a-tenor-485548",23,3,0,"2010","Play"
"leopoldstadt-534820",42,6,4,"2023","Play"
"les-liaisons-dangereuses-4469",20,7,0,"1987","Play"
"les-liaisons-dangereuses-473780",13,5,1,"2008","Play"
"les-misrables-413358",61,3,0,"2007","Musical"
"les-misrables-4443",846,11,8,"1987","Musical"
"les-misrables-494837",132,3,0,"2014","Musical"
"lestat-402876",10,2,0,"2006","Musical"
"lettice-and-lovage-4558",41,4,2,"1990","Play"
"life-of-pi-535445",20,5,3,"2023","Play"
"life-x-3-13491",16,1,0,"2003","Play"
"little-shop-of-horrors-13538",52,1,0,"2004","Musical"
"little-women-386281",24,1,0,"2005","Musical"
"living-on-love-498988",5,0,0,"2015","Play"
"lobby-hero-515856",11,2,0,"2018","Play"
"lombardi-487855",35,1,0,"2011","Play"
"london-assurance-4752",11,3,0,"1997","Play"
"long-days-journey-into-night-13474",19,6,3,"2003","Play"
"long-days-journey-into-night-4410",10,4,0,"1986","Play"
"long-days-journey-into-night-501115",13,7,2,"2016","Play"
"loot-4405",13,4,0,"1986","Play"
"lost-in-yonkers-4632",99,5,4,"1991","Play"
"love-life-393642",5,0,0,"2006","Special"
"love-thy-neighbor-4324",41,0,0,"1996","Special"
"love-valour-compassion-4284",35,4,2,"1995","Play"
"lovemusik-455498",11,4,0,"2007","Musical"
"lucky-guy-493577",19,6,2,"2013","Play"
"lunch-hour-4076",34,1,0,"1981","Play"
"m-butterfly-4497",99,7,3,"1988","Play"
"ma-raineys-black-bottom-4346",36,3,0,"1985","Play"
"macbeth-12570",3,0,0,"2001","Play"
"macbeth-4503",11,1,0,"1988","Play"
"macbeth-478134",9,6,0,"2008","Play"
"macbeth-494068",15,1,0,"2013","Play"
"macbeth-532512",14,3,0,"2022","Play"
"magic-bird-491567",8,0,0,"2012","Play"
"mail-4501",7,1,0,"1988","Musical"
"mamma-mia-12925",725,5,0,"2002","Musical"
"man-of-la-mancha-13422",41,3,0,"2003","Musical"
"man-of-la-mancha-4683",17,0,0,"1992","Musical"
"marc-salems-mind-games-on-broadway-381023",24,0,0,"2005","Special"
"marlene-7297",5,2,0,"1999","Musical"
"marvins-room-510044",12,0,0,"2018","Play"
"mary-poppins-408494",334,7,1,"2007","Musical"
"mary-stuart-481070",20,6,1,"2009","Play"
"mass-appeal-4142",29,2,0,"1982","Play"
"master-class-4314",87,3,3,"1996","Play"
"match-9648",11,1,0,"2004","Play"
